Comment;Designator;Footprint;LCSC Part Number;Quantity
120R;R4;0805;C17909;1
510R;R3,R1;0805;C17734;2
4K7;R2;0805;C17673;1
MMS9013-H-TP;Q1;SOT-23;C90160;1
Phoenix Contact 1711738;J3;Phoenix_MKDS-1.5-3-5.08_1x03_P5.08mm_Horizontal;C91156;1
MOLEX 22284020;J2;PinHeader_2x01_P2.54mm_Vertical;C234182;1
CONNFLY Elec DS1133-S60BPX;J1;DS1133-S60BPX;C77859;1
Maxim Integrated MAX13487EESA+T;IC1;SOIC-8_150mil;C18347;1
BOURNS CDSOT23-SM712;D3;SOT-23;C404012;1
Foshan NationStar Optoelectronics NCD0805R1;D2;0805;C84256;1
Foshan NationStar Optoelectronics NCD0805R1;D1;0805;C84256;1
100nF;C2,C1;0805;C49678;2